g	Ground State Energy	Second Derivative	Theory	Theory Second Derivative
5.04	-1.31448	-0.00467892	-1.31011	-0.00416211
5.08	-1.32404	-0.00455926	-1.31971	-0.00406019
5.12	-1.3336	-0.00444382	-1.32931	-0.00396162
5.16	-1.34317	-0.00433239	-1.33892	-0.00386625
5.2	-1.35275	-0.0042248	-1.34854	-0.00377396
5.24	-1.36234	-0.00412088	-1.35816	-0.00368462
5.28	-1.37193	-0.00402046	-1.36779	-0.0035981
5.32	-1.38153	-0.0039234	-1.37742	-0.00351431
5.36	-1.39114	-0.00382955	-1.38706	-0.00343312
5.4	-1.40075	-0.00373877	-1.39671	-0.00335445
5.44	-1.41036	-0.00365094	-1.40636	-0.00327818
5.48	-1.41999	-0.00356592	-1.41601	-0.00320424
5.52	-1.42962	-0.00348361	-1.42567	-0.00313252
5.56	-1.43925	-0.00340389	-1.43534	-0.00306295
5.6	-1.44889	-0.00332667	-1.44501	-0.00299545
5.64	-1.45853	-0.00325182	-1.45469	-0.00292993
5.68	-1.46818	-0.00317928	-1.46437	-0.00286633
5.72	-1.47784	-0.00310893	-1.47405	-0.00280458
5.76	-1.4875	-0.0030407	-1.48374	-0.0027446
5.8	-1.49717	-0.00297451	-1.49343	-0.00268634
5.84	-1.50684	-0.00291028	-1.50313	-0.00262973
5.88	-1.51651	-0.00284793	-1.51283	-0.00257471
5.92	-1.52619	-0.0027874	-1.52254	-0.00252123
5.96	-1.53587	-0.00272861	-1.53225	-0.00246924
6	-1.54556	-0.0026715	-1.54196	-0.00241867
6.04	-1.55525	-0.00261601	-1.55168	-0.00236949
6.08	-1.56495	-0.00256208	-1.5614	-0.00232165
6.12	-1.57465	-0.00250966	-1.57113	-0.00227509
6.16	-1.58435	-0.00245869	-1.58086	-0.00222978
6.2	-1.59406	-0.00240912	-1.59059	-0.00218568
6.24	-1.60377	-0.0023609	-1.60033	-0.00214274
6.28	-1.61349	-0.00231399	-1.61007	-0.00210092
6.32	-1.62321	-0.00226833	-1.61981	-0.0020602
6.36	-1.63293	-0.00222389	-1.62956	-0.00202052
