-10 0 6.42052e-05 -5.38728e-05 3.4929e-05
-9.84252 0 7.51559e-05 -6.8693e-05 3.04905e-05
-9.68504 0 8.79743e-05 -8.50116e-05 2.26387e-05
-9.52756 0 0.000102979 -0.000102436 1.05657e-05
-9.37008 0 0.000120543 -0.000120363 -6.59031e-06
-9.2126 0 0.000141102 -0.000137938 -2.97149e-05
-9.05512 0 0.000165168 -0.000154011 -5.96751e-05
-8.89764 0 0.000193339 -0.000167093 -9.7262e-05
-8.74016 0 0.000226315 -0.000175317 -0.000143117
-8.58268 0 0.000264914 -0.000176406 -0.000197638
-8.4252 0 0.000310098 -0.000167656 -0.000260868
-8.26772 0 0.000362987 -0.000145932 -0.00033236
-8.11024 0 0.000424897 -0.000107694 -0.000411023
-7.95276 0 0.000497367 -4.90472e-05 -0.000494943
-7.79528 0 0.000582197 3.41588e-05 -0.000581194
-7.6378 0 0.000681495 0.000146185 -0.000665631
-7.48031 0 0.000797729 0.000291196 -0.000742682
-7.32283 0 0.000933788 0.000472985 -0.000805137
-7.16535 0 0.00109305 0.00069461 -0.000843966
-7.00787 0 0.00127948 0.000957954 -0.000848171
-6.85039 0 0.00149771 0.00126317 -0.000804687
-6.69291 0 0.00175315 0.00160804 -0.000698385
-6.53543 0 0.00205216 0.00198722 -0.000512181
-6.37795 0 0.00240217 0.00239139 -0.000227307
-6.22047 0 0.00281188 0.00280635 0.000176225
-6.06299 0 0.00329146 0.00321199 0.000718915
-5.90551 0 0.00385284 0.00358131 0.00142077
-5.74803 0 0.00450996 0.00387942 0.00229996
-5.59055 0 0.00527914 0.00406265 0.00337108
-5.43307 0 0.00617951 0.00407784 0.00464301
-5.27559 0 0.00723342 0.00386189 0.00611622
-5.11811 0 0.00846706 0.00334179 0.00777968
-4.96063 0 0.00991105 0.00243514 0.00960723
-4.80315 0 0.0116012 0.00105149 0.0115535
-4.64567 0 0.0135796 -0.000905353 0.0135494
-4.48819 0 0.0158951 -0.00353391 0.0154973
-4.33071 0 0.0186053 -0.00693011 0.0172665
-4.17323 0 0.0217772 -0.0111808 0.0186879
-4.01575 0 0.0254892 -0.016355 0.0195503
-3.85827 0 0.029833 -0.0224939 0.0195968
-3.70079 0 0.0349155 -0.0295973 0.0185228
-3.54331 0 0.0408614 -0.0376085 0.0159767
-3.38583 0 0.0478158 -0.0463968 0.0115625
-3.22835 0 0.0559475 -0.0557371 0.00484757
-3.07087 0 0.0654518 -0.0652882 -0.00462532
-2.91339 0 0.0765543 -0.0745695 -0.017319
-2.75591 0 0.0895138 -0.0829381 -0.0336747
-2.59843 0 0.104625 -0.0895672 -0.0540756
